time,uav_id,energy
0,0,100.0
1,0,99.9
2,0,99.8
3,0,99.7
4,0,99.6
5,0,99.5
6,0,99.4
7,0,99.3
8,0,99.2
9,0,99.1
10,0,99.0
11,0,98.9
12,0,98.8
13,0,98.7
14,0,98.6
15,0,98.5
16,0,98.4
17,0,98.3
18,0,98.2
19,0,98.1
20,0,98.0
21,0,97.9
22,0,97.8
23,0,97.7
24,0,97.6
25,0,97.5
26,0,97.4
27,0,97.3
28,0,97.2
29,0,97.1
30,0,97.0
31,0,96.9
32,0,96.8
33,0,96.7
34,0,96.6
35,0,96.5
36,0,96.4
37,0,96.3
38,0,96.2
39,0,96.1
40,0,96.0
41,0,95.9
42,0,95.8
43,0,95.7
44,0,95.6
45,0,95.5
46,0,95.4
47,0,95.3
48,0,95.2
49,0,95.1
50,0,95.0
51,0,94.9
52,0,94.8
53,0,94.7
54,0,94.6
55,0,94.5
56,0,94.4
57,0,94.3
58,0,94.2
59,0,94.1
60,0,94.0
61,0,93.9
62,0,93.8
63,0,93.7
64,0,93.6
65,0,93.5
66,0,93.4
67,0,93.3
68,0,93.2
69,0,93.1
70,0,93.0
71,0,92.9
72,0,92.8
73,0,92.7
74,0,92.6
75,0,92.5
76,0,92.4
77,0,92.3
78,0,92.2
79,0,92.1
80,0,92.0
81,0,91.9
82,0,91.8
83,0,91.7
84,0,91.6
85,0,91.5
86,0,91.4
87,0,91.3
88,0,91.2
89,0,91.1
90,0,91.0
91,0,90.9
92,0,90.8
93,0,90.7
94,0,90.6
95,0,90.5
96,0,90.4
97,0,90.3
98,0,90.2
99,0,90.1
0,1,100.0
1,1,99.9
2,1,99.8
3,1,99.7
4,1,99.6
5,1,99.5
6,1,99.4
7,1,99.3
8,1,99.2
9,1,99.1
10,1,99.0
11,1,98.9
12,1,98.8
13,1,98.7
14,1,98.6
15,1,98.5
16,1,98.4
17,1,98.3
18,1,98.2
19,1,98.1
20,1,98.0
21,1,97.9
22,1,97.8
23,1,97.7
24,1,97.6
25,1,97.5
26,1,97.4
27,1,97.3
28,1,97.2
29,1,97.1
30,1,97.0
31,1,96.9
32,1,96.8
33,1,96.7
34,1,96.6
35,1,96.5
36,1,96.4
37,1,96.3
38,1,96.2
39,1,96.1
40,1,96.0
41,1,95.9
42,1,95.8
43,1,95.7
44,1,95.6
45,1,95.5
46,1,95.4
47,1,95.3
48,1,95.2
49,1,95.1
50,1,95.0
51,1,94.9
52,1,94.8
53,1,94.7
54,1,94.6
55,1,94.5
56,1,94.4
57,1,94.3
58,1,94.2
59,1,94.1
60,1,94.0
61,1,93.9
62,1,93.8
63,1,93.7
64,1,93.6
65,1,93.5
66,1,93.4
67,1,93.3
68,1,93.2
69,1,93.1
70,1,93.0
71,1,92.9
72,1,92.8
73,1,92.7
74,1,92.6
75,1,92.5
76,1,92.4
77,1,92.3
78,1,92.2
79,1,92.1
80,1,92.0
81,1,91.9
82,1,91.8
83,1,91.7
84,1,91.6
85,1,91.5
86,1,91.4
87,1,91.3
88,1,91.2
89,1,91.1
90,1,91.0
91,1,90.9
92,1,90.8
93,1,90.7
94,1,90.6
95,1,90.5
96,1,90.4
97,1,90.3
98,1,90.2
99,1,90.1
0,2,100.0
1,2,99.9
2,2,99.8
3,2,99.7
4,2,99.6
5,2,99.5
6,2,99.4
7,2,99.3
8,2,99.2
9,2,99.1
10,2,99.0
11,2,98.9
12,2,98.8
13,2,98.7
14,2,98.6
15,2,98.5
16,2,98.4
17,2,98.3
18,2,98.2
19,2,98.1
20,2,98.0
21,2,97.9
22,2,97.8
23,2,97.7
24,2,97.6
25,2,97.5
26,2,97.4
27,2,97.3
28,2,97.2
29,2,97.1
30,2,97.0
31,2,96.9
32,2,96.8
33,2,96.7
34,2,96.6
35,2,96.5
36,2,96.4
37,2,96.3
38,2,96.2
39,2,96.1
40,2,96.0
41,2,95.9
42,2,95.8
43,2,95.7
44,2,95.6
45,2,95.5
46,2,95.4
47,2,95.3
48,2,95.2
49,2,95.1
50,2,95.0
51,2,94.9
52,2,94.8
53,2,94.7
54,2,94.6
55,2,94.5
56,2,94.4
57,2,94.3
58,2,94.2
59,2,94.1
60,2,94.0
61,2,93.9
62,2,93.8
63,2,93.7
64,2,93.6
65,2,93.5
66,2,93.4
67,2,93.3
68,2,93.2
69,2,93.1
70,2,93.0
71,2,92.9
72,2,92.8
73,2,92.7
74,2,92.6
75,2,92.5
76,2,92.4
77,2,92.3
78,2,92.2
79,2,92.1
80,2,92.0
81,2,91.9
82,2,91.8
83,2,91.7
84,2,91.6
85,2,91.5
86,2,91.4
87,2,91.3
88,2,91.2
89,2,91.1
90,2,91.0
91,2,90.9
92,2,90.8
93,2,90.7
94,2,90.6
95,2,90.5
96,2,90.4
97,2,90.3
98,2,90.2
99,2,90.1
