time,x,y,z
0,100.0,10,200.0
1,100.5,10,200.1
2,101.0,10,200.2
3,101.5,10,200.3
4,102.0,10,200.4
5,102.5,10,200.5
6,103.0,10,200.6
7,103.5,10,200.7
8,104.0,10,200.8
9,104.5,10,200.9
10,105.0,10,201.0
11,105.5,10,201.1
12,106.0,10,201.2
13,106.5,10,201.3
14,107.0,10,201.4
15,107.5,10,201.5
16,108.0,10,201.6
17,108.5,10,201.7
18,109.0,10,201.8
19,109.5,10,201.9
20,110.0,10,202.0
21,110.5,10,202.1
22,111.0,10,202.2
23,111.5,10,202.3
24,112.0,10,202.4
25,112.5,10,202.5
26,113.0,10,202.6
27,113.5,10,202.7
28,114.0,10,202.8
29,114.5,10,202.9
30,115.0,10,203.0
31,115.5,10,203.1
32,116.0,10,203.2
33,116.5,10,203.3
34,117.0,10,203.4
35,117.5,10,203.5
36,118.0,10,203.6
37,118.5,10,203.7
38,119.0,10,203.8
39,119.5,10,203.9
40,120.0,10,204.0
41,120.5,10,204.1
42,121.0,10,204.2
43,121.5,10,204.3
44,122.0,10,204.4
45,122.5,10,204.5
46,123.0,10,204.6
47,123.5,10,204.7
48,124.0,10,204.8
49,124.5,10,204.9
50,125.0,10,205.0
51,125.5,10,205.1
52,126.0,10,205.2
53,126.5,10,205.3
54,127.0,10,205.4
55,127.5,10,205.5
56,128.0,10,205.6
57,128.5,10,205.7
58,129.0,10,205.8
59,129.5,10,205.9
60,130.0,10,206.0
61,130.5,10,206.1
62,131.0,10,206.2
63,131.5,10,206.3
64,132.0,10,206.4
65,132.5,10,206.5
66,133.0,10,206.6
67,133.5,10,206.7
68,134.0,10,206.8
69,134.5,10,206.9
70,135.0,10,207.0
71,135.5,10,207.1
72,136.0,10,207.2
73,136.5,10,207.3
74,137.0,10,207.4
75,137.5,10,207.5
76,138.0,10,207.6
77,138.5,10,207.7
78,139.0,10,207.8
79,139.5,10,207.9
80,140.0,10,208.0
81,140.5,10,208.1
82,141.0,10,208.2
83,141.5,10,208.3
84,142.0,10,208.4
85,142.5,10,208.5
86,143.0,10,208.6
87,143.5,10,208.7
88,144.0,10,208.8
89,144.5,10,208.9
90,145.0,10,209.0
91,145.5,10,209.1
92,146.0,10,209.2
93,146.5,10,209.3
94,147.0,10,209.4
95,147.5,10,209.5
96,148.0,10,209.6
97,148.5,10,209.7
98,149.0,10,209.8
99,149.5,10,209.9
