time,x,y,z
0,200.0,30,200.0
1,200.5,30,200.1
2,201.0,30,200.2
3,201.5,30,200.3
4,202.0,30,200.4
5,202.5,30,200.5
6,203.0,30,200.6
7,203.5,30,200.7
8,204.0,30,200.8
9,204.5,30,200.9
10,205.0,30,201.0
11,205.5,30,201.1
12,206.0,30,201.2
13,206.5,30,201.3
14,207.0,30,201.4
15,207.5,30,201.5
16,208.0,30,201.6
17,208.5,30,201.7
18,209.0,30,201.8
19,209.5,30,201.9
20,210.0,30,202.0
21,210.5,30,202.1
22,211.0,30,202.2
23,211.5,30,202.3
24,212.0,30,202.4
25,212.5,30,202.5
26,213.0,30,202.6
27,213.5,30,202.7
28,214.0,30,202.8
29,214.5,30,202.9
30,215.0,30,203.0
31,215.5,30,203.1
32,216.0,30,203.2
33,216.5,30,203.3
34,217.0,30,203.4
35,217.5,30,203.5
36,218.0,30,203.6
37,218.5,30,203.7
38,219.0,30,203.8
39,219.5,30,203.9
40,220.0,30,204.0
41,220.5,30,204.1
42,221.0,30,204.2
43,221.5,30,204.3
44,222.0,30,204.4
45,222.5,30,204.5
46,223.0,30,204.6
47,223.5,30,204.7
48,224.0,30,204.8
49,224.5,30,204.9
50,225.0,30,205.0
51,225.5,30,205.1
52,226.0,30,205.2
53,226.5,30,205.3
54,227.0,30,205.4
55,227.5,30,205.5
56,228.0,30,205.6
57,228.5,30,205.7
58,229.0,30,205.8
59,229.5,30,205.9
60,230.0,30,206.0
61,230.5,30,206.1
62,231.0,30,206.2
63,231.5,30,206.3
64,232.0,30,206.4
65,232.5,30,206.5
66,233.0,30,206.6
67,233.5,30,206.7
68,234.0,30,206.8
69,234.5,30,206.9
70,235.0,30,207.0
71,235.5,30,207.1
72,236.0,30,207.2
73,236.5,30,207.3
74,237.0,30,207.4
75,237.5,30,207.5
76,238.0,30,207.6
77,238.5,30,207.7
78,239.0,30,207.8
79,239.5,30,207.9
80,240.0,30,208.0
81,240.5,30,208.1
82,241.0,30,208.2
83,241.5,30,208.3
84,242.0,30,208.4
85,242.5,30,208.5
86,243.0,30,208.6
87,243.5,30,208.7
88,244.0,30,208.8
89,244.5,30,208.9
90,245.0,30,209.0
91,245.5,30,209.1
92,246.0,30,209.2
93,246.5,30,209.3
94,247.0,30,209.4
95,247.5,30,209.5
96,248.0,30,209.6
97,248.5,30,209.7
98,249.0,30,209.8
99,249.5,30,209.9
