task_id,x,y,z,status
1,15.470956838685268,52.395726879834385,0.0,pending
2,100.89489802835767,140.0860810680077,0.0,pending
3,67.69888824259074,78.47196652187043,0.0,pending
4,49.233049556739815,115.09782465741341,0.0,pending
5,72.89516047476631,135.71086633543288,0.0,pending
6,55.437263949747305,186.64737044036613,0.0,pending
7,136.57856638505663,13.14282491860208,0.0,pending
8,52.040875429546276,163.9478542799538,0.0,pending
9,21.804759888474855,166.10452118242242,0.0,pending
10,24.554861010346542,147.6672376028454,0.0,pending
